componentsubtype,componenttype,description_cost,description_id,tonnage,aura2_ams,aura2_c3,aura2_c3i,aura2_c3m,aura2_c3ms,aura2_eccm,aura2_eccm_protect,aura2_ecm,aura2_jammer,aura2_searchlight,description_details
Prototype_ElectronicWarfare,Upgrade,1370000,Gear_Sensors_AR14,2,,,,,,,,"{""rng"":90,""val"":2}","{""rng"":330,""val"":5}",,"The AR-14 Sheathed Directional Beacon with Angel ECM Suit is a Star League Cockpit and Sensor system specifically designed for the Chameleon Polarization Shield, combining the benefits of an Active probe with a ECM system."
Prototype_ElectronicWarfare,Upgrade,1370000,Gear_Sensors_AR12,1,,,,,,,,"{""rng"":60,""val"":2}","{""rng"":270,""val"":4}",,"The AR-12 Sheathed Directional Beacon with Guardian ECM Suite is a Star League Cockpit and Sensor system specifically designed for the Exterminator BattleMech, combining the benefits of an Active probe with a ECM system."
Prototype_ElectronicWarfare,Upgrade,1230000,Gear_EWS_RISC,5,,,,"{""rng"":240,""val"":1}","{""rng"":240,""val"":1}","{""rng"":260,""val"":-3}","{""rng"":260,""val"":-2}","{""rng"":260,""val"":3}","{""rng"":260,""val"":1}",,"This Advanced Electronic Warfare Suite Combines several experimental and Prototypes Systems into one Power Warfare suite, capable of providing ECM with ECCM Alongside an Advanced Probe and UAV Compartment. <b><color=#099ff2>VOLATILE!</color></b>"
Prototype_ElectronicWarfare,Upgrade,1230000,Gear_EWS,3,,,,,,"{""rng"":190,""val"":-3}","{""rng"":260,""val"":-2}","{""rng"":190,""val"":3}","{""rng"":260,""val"":1}",,"This advanced Electronics Warfare Suite is designed to mimic the more advanced Star League-era ECM, Active Probe and Targeting Computer. Containing a vast Array of Electronic Warfare Systems able to efficiently jam Enemy sensors and improving their Own."
Prototype_ElectronicWarfare,Upgrade,1170000,Gear_Sensors_Fatnir,2,,,,,,,,"{""rng"":160,""val"":1}","{""rng"":460,""val"":3}",,"Another Junkrat design at their finest, this got pieces from Clan Cockpits, an old SLDF sensor suite, a QuicSell ECM Box and this here is a TAPE DECK! A original Nakachimi Dragon VII! That thing is a thousand years old!"
Prototype_ElectronicWarfare,Upgrade,1158000,Gear_Watchdog_EWS,1.5,,,,,,"{""rng"":150,""val"":-2}","{""rng"":210,""val"":-2}","{""rng"":150,""val"":2}","{""rng"":210,""val"":1}",,"The 'Watchdog Composite Electronic Warfare System (CEWS)' combines the best of the Clan Active Probe systems and enhanced ECM suites. By performing the functions of both systems in one device, the Watchdog enables Clan OmniMechs to mount additional weapons or armor."
Prototype_ElectronicWarfare,Upgrade,1150000,Gear_Sensors_Zeus_C,2,,,,,,,,"{""rng"":240,""val"":2}","{""rng"":240,""val"":2}",,"All 'Mechs come equipped with a stock cockpit configuration, which can be upgraded for improved performance. Command Consoles are components that can only be mounted on Heavy or Assault Class 'Mechs. The Console adds a complete set of controls for a second MechWarrior with added command and control facilities, allowing for better Lance coordination by upgrading initiative.  Star League-vintage Command Consoles are very rare by 3025 because 'Mechs equipped in this way were favoured targets in battle. Most still existing have been relegated to training duties."
Prototype_ElectronicWarfare,Upgrade,930000,Gear_Angel_ECM,2,,,,,,"{""rng"":190,""val"":-2}","{""rng"":360,""val"":-5}","{""rng"":190,""val"":2}","{""rng"":360,""val"":5}",,"The Angel ECM Suite is an advanced version of the Guardian ECM Suite operating on a broader spectrum and greatly advances ECM technology on the battlefield. Development of the Angel began in the Draconis Combine shortly after the Battle of Luthien, but despite assistance from ComStar, cost overruns and internal problems within both powers kept it in its experimental stages for a long time and delayed its widespread deployment."
Prototype_ElectronicWarfare,Upgrade,900000,lootable_ChameleonLightPolarizationShield,2,,,,,,,,"{""rng"":90,""val"":2}","{""rng"":330,""val"":5}",,"The Chameleon Light Polarization Shield was designed to make a 'Mech invisible to the naked eye. By using a primitive mimetic system, the outline of the 'Mech carrying it was broken up, blending into the surrounding terrain. The Chameleon was very effective because unlike the Null Signature System it worked against sensor systems and visual observation. Reserves 12 slots and contains an ECM."
Prototype_ElectronicWarfare,Upgrade,870000,Gear_Sensors_EWS,1,,,,,,,,"{""rng"":160,""val"":2}","{""rng"":160,""val"":2}",,"The AR-24 Sheathed Directional Beacon with ECM Suit is based on a a Star League Sensor system, combining the benefits of an Active probe with a ECM system, sadly it cannot provide the same benefits as most of its Technology is lost."
Prototype_ElectronicWarfare,Upgrade,670000,Gear_Sensors_ECM,1,,,,,,,,"{""rng"":160,""val"":1}","{""rng"":160,""val"":1}",,An Attempt to recreate the SLDF AR12 Integrated ECM and Sensor Suite providing a low Yield ECM and Scanning System.
Prototype_ElectronicWarfare,Upgrade,530000,Gear_Aftermarket_EWS,2,,,,,,,,"{""rng"":180,""val"":2}","{""rng"":180,""val"":3}",,Need an ECM but don't want to bother some Liao Sales rep for one of theirs? We at QuicSell got your back! Our lightweight EWS 6000X can do everything theirs can do for only half the price!
Prototype_ElectronicWarfare,Upgrade,450000,Gear_EWS_Howler,1,,,,,,,,"{""rng"":280,""val"":5}","{""rng"":160,""val"":2}",,"The Howler MKII Designated Comm Suite was specifically designed for the Arctic Wolf BattleMech but never went into mass production, It combines a specialized SRM TTS system with Clan ECM and Probe Technologies tied into a Artemis IV System. Unfortunately it is incompatible to any Streak or ATM system."
Prototype_ElectronicWarfare,Upgrade,441000,Gear_Guardian_ECM_CLAN,1,,,,,,"{""rng"":190,""val"":-2}","{""rng"":270,""val"":-2}","{""rng"":190,""val"":2}","{""rng"":270,""val"":2}",,"The Guardian ECM Suite was introduced in 2597 by Johnston Industries of the Terran Hegemony. Designed to interfere with guided weaponry, targeting computers, and communication systems, the Guardian was typically used to shield allied units from such equipment by emitting a broad-band signal meant to confuse radar, infrared, ultraviolet, magscan and sonar sensors."
Prototype_ElectronicWarfare,Upgrade,430000,Gear_Guardian_ECM,1.5,,,,,,"{""rng"":150,""val"":-3}","{""rng"":150,""val"":-3}","{""rng"":150,""val"":3}","{""rng"":210,""val"":3}",,"The Guardian ECM Suite was introduced in 2597 by Johnston Industries of the Terran Hegemony. Designed to interfere with guided weaponry, targeting computers, and communication systems, the Guardian was typically used to shield allied units from such equipment by emitting a broad-band signal meant to confuse radar, infrared, ultraviolet, magscan and sonar sensors."
Prototype_ElectronicWarfare,Upgrade,330000,Gear_ECM,1,,,,,,"{""rng"":150,""val"":-1}","{""rng"":210,""val"":-2}","{""rng"":150,""val"":2}","{""rng"":210,""val"":2}",,This basic Electronics Counter Measures scrambles Enemy Targeting and Missile Systems and is a efficient upgrade to a 'Mech's standard ECM equipment.
Prototype_ElectronicWarfare,Upgrade,330000,Quirk_Pirate_ECM,1,,,,,,,,,,,"Basically still Electronics Counter Measures that scrambles Enemy Targeting and Missile Systems, though less elegant because it simply sends ancient Heavy Metal and Rock over any and all frequencies, even IR and Magnetic..."
Prototype_ElectronicWarfare,Upgrade,330000,PA_ECM,0,,,,,,"{""rng"":210,""val"":-3}","{""rng"":300,""val"":-4}","{""rng"":210,""val"":3}","{""rng"":300,""val"":4}",,This basic Electronics Counter Measures scrambles Enemy Targeting and Missile Systems and is a efficient upgrade to a 'Mech's standard ECM equipment.
Prototype_ElectronicWarfare,Upgrade,330000,Gear_Pirate_ECM,1,,,,,,,,,,,"Basically still Electronics Counter Measures that scrambles Enemy Targeting and Missile Systems, though less elegant because it simply sends ancient Heavy Metal and Rock over any and all frequencies, even IR and Magnetic..."
Prototype_ElectronicWarfare,Upgrade,250000,Gear_EWS_Athena,2,,,,,,,,"{""rng"":120,""val"":1}","{""rng"":400,""val"":4}",,"A Electronic Warfware suite married to a targeting computer and Missile Targeting System, but cannot be used with any other TTS, Artemis or C3 System."
Prototype_ElectronicWarfare,Upgrade,130000,Gear_UAV,0,,,,,,,,,,,"A compartment of small UAV's (Unmanned Aerial Vehicles) with remote control equipment, improving Battlefield surveillance capabilities."
Prototype_ElectronicWarfare,Upgrade,130000,Gear_Tank_DroneController,4.5,,,,,,,,,,,A drone Remote Control System set up to deploy a swarm of Sensor Drones.
Prototype_ElectronicWarfare,Upgrade,123000,Gear_proto_EWS,7.5,,,,,,,,"{""rng"":220,""val"":2}","{""rng"":200,""val"":2}",,"At the end of the Third Succession War when Lostech was rampant, House Liao managed the unlikely feat of developing the RVN-1X Raven, an entirely new BattleMech design that was to serve as an electronic warfare and countermeasures support on company or battalion level. It was a testbed for new electronic warfare components which was usually only referred to as 'ECM Equipment'."
Prototype_ElectronicWarfare,Upgrade,0,Quirk_Guardian_ECM,1,,,,,,"{""rng"":180,""val"":-4}","{""rng"":240,""val"":-4}","{""rng"":180,""val"":4}","{""rng"":240,""val"":4}",,"The Guardian ECM Suite was introduced in 2597 by Johnston Industries of the Terran Hegemony. Designed to interfere with guided weaponry, targeting computers, and communication systems, the Guardian was typically used to shield allied units from such equipment by emitting a broad-band signal meant to confuse radar, infrared, ultraviolet, magscan and sonar sensors."
