description_cost,category,componentsubtype,componenttype,description_id,description_details,damage,damage2,heatgenerated,aura2_ams,aura2_c3,aura2_c3i,aura2_c3m,aura2_c3ms,aura2_eccm,aura2_eccm_protect,aura2_ecm,aura2_jammer,aura2_searchlight,custom_bonusdescriptions
500000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Swarmi_LRM,The Swarm I(mproved) Missile System is based upon the Swarm System Carrying a Larger Payload of Smar,,,,,,,,,,,,,,"{""Bonuses"":[""LRMDamage: -60%"",""AreaOfEffect: 30"",""AreaOfEffectDmg: 3"",""DFMissileAcc: -1"",""WpnCrits: -70%"",""MissileHP: 2"",""Swarmi"",""NoAA"",""LRMAmmo: 120""]}"
460000,,Ammunition,AmmunitionBox,Quirk_AmmunitionBox_Hydra_LRM,"This Ammo bin contains the infamous 'Hydra' Missiles from the deep periphery, carrying a volatile pa",,,,,,,,,,,,,,"{""Bonuses"":[""WpnAccuracy: -2"",""LRMDamage: -75%"",""HeatDamage: 1"",""AreaOfEffect: 45"",""AreaOfEffectDmg: 1"",""AreaOfEffectHeatDmg: 1"",""AlwaysStartsFireAnywhere"",""Range: -33%"",""ScatterRadius: 15, 120"",""MissileHP: 1"",""enCASEd"",""VolatileAmmo"",""LRMAmmo: 200""]}"
460000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Hydra_LRM,"This Ammo bin contains the infamous 'Hydra' Missiles from the deep periphery, carrying a volatile pa",,,,,,,,,,,,,,"{""Bonuses"":[""WpnAccuracy: -2"",""LRMDamage: -75%"",""HeatDamage: 1"",""AreaOfEffect: 45"",""AreaOfEffectDmg: 1"",""AreaOfEffectHeatDmg: 1"",""AlwaysStartsFireAnywhere"",""Range: -33%"",""ScatterRadius: 15, 120"",""MissileHP: 1"",""VolatileAmmo"",""LRMAmmo: 120""]}"
460000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_AX_LRM,"Another Periphery jury rig of Swarm Munitions, this replaces the Warhead with an AX compound, meltin",,,,,,,,,,,,,,"{""Bonuses"":[""WpnAccuracy: -2"",""LRMDamage: -60%"",""AreaOfEffect: 45"",""AreaOfEffectDmg: 2"",""AcidSRM: 1%"",""ArmorDmgMod: +50%"",""StructureDmgMod: -50%"",""Range: -33%"",""ScatterRadius: 15, 120"",""MissileHP: 1"",""LRMAmmo: 120""]}"
400000,,Ammunition,AmmunitionBox,Ammo_Light_Rotary_Caseless_AC2,Caseless autocannon ammunition was developed by the Federated Commonwealth to provide more ammunitio,,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 5%"",""AmmoDamage: -10%"",""LRAC2Ammo: 120"",""Caseless"",""VolatileAmmo""]}"
400000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rotary_Caseless_AC2,Caseless autocannon ammunition was developed by the Federated Commonwealth to provide more ammunitio,,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 10%"",""AmmoDamage: -15%"",""RAC2Ammo: 50"",""Caseless"",""VolatileAmmo""]}"
270000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Light_GAUSS_double,Light Gauss have a better ballistic profile allowing a slug to travel further but have reduced damag,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""LightGaussAmmo: 40"",""InertAmmo""]}"
270000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Heavy_GAUSS_double,Heavy Gauss ammo fires a heavier projectile drastically reducing range but increasing the damage pro,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""HeavyGaussAmmo: 10"",""InertAmmo""]}"
240000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Ultra_AC20_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one loc,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""UAC20Ammo: 12""]}"
240000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Ultra_AC20_CL,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 16%"",""AmmoDamage: -15%"",""UAC20Ammo: 10"",""Caseless""]}"
240000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rotary_AC20_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one loc,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""RAC20Ammo: 12""]}"
230000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Hydra_LRM_half,"This Ammo bin contains the infamous 'Hydra' Missiles from the deep periphery, carrying a volatile pa",,,,,,,,,,,,,,"{""Bonuses"":[""WpnAccuracy: -2"",""LRMDamage: -75%"",""HeatDamage: 1"",""AreaOfEffect: 45"",""AreaOfEffectDmg: 1"",""AreaOfEffectHeatDmg: 1"",""AlwaysStartsFireAnywhere"",""Range: -33%"",""ScatterRadius: 15, 120"",""MissileHP: 1"",""VolatileAmmo"",""LRMAmmo: 60""]}"
230000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_AX_LRM_half,"Another Periphery jury rig of Swarm Munitions, this replaces the Warhead with an AX compound, meltin",,,,,,,,,,,,,,"{""Bonuses"":[""WpnAccuracy: -2"",""LRMDamage: -60%"",""AreaOfEffect: 45"",""AreaOfEffectDmg: 2"",""AcidSRM: 1%"",""ArmorDmgMod: +50%"",""StructureDmgMod: -50%"",""Range: -33%"",""ScatterRadius: 15, 120"",""MissileHP: 1"",""LRMAmmo: 60""]}"
200000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_MagPulse_LRM_half,Originally conceived as an electronics countermeasure attack against a targeted BattleMech's targeti,,,,,,,,,,,,,,"{""Bonuses"":[""EMPDEBUFF: 1"",""EMPHEAT: 1%"",""HeatDamage: +1"",""LRMDamage: -70%"",""MissileHP: 2"",""LRMAmmo: 60""]}"
200000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_ArtemisIV_SRM,Artemis IV SRM's have a ''smart'' Warhead that is able to efficiently guide itself towards any targe,,,,,,,,,,,,,,"{""Bonuses"":[""PipsIgnored: +1"",""WpnAccuracy: +1"",""DoesCluster"",""ArtemisClustering: +4"",""SRMAmmo: 100"",""MissileHP: 3"",""ReqArtemis""]}"
200000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_ArtemisIV_LRM_half,Artemis IV LRM's have a ''smart'' Warhead that is able to efficiently guide itself towards any targe,,,,,,,,,,,,,,"{""Bonuses"":[""PipsIgnored: +1"",""WpnAccuracy: +1"",""IndirectAcc: -2"",""ArtemisClustering: +6"",""MissileHP: 2"",""LRMAmmo: 60"",""ReqArtemis""]}"
200000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_ArtemisIV_LRM,Artemis IV LRM's have a ''smart'' Warhead that is able to efficiently guide itself towards any targe,,,,,,,,,,,,,,"{""Bonuses"":[""PipsIgnored: +1"",""WpnAccuracy: +1"",""IndirectAcc: -2"",""ArtemisClustering: +6"",""MissileHP: 2"",""LRMAmmo: 120"",""ReqArtemis""]}"
200000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Apollo_MRM_half,The Apollo Fire Control System was created by the Draconis Combine for the MRM specifically designed,,,,,,,,,,,,,,"{""Bonuses"":[""PipsIgnored: +1"",""WpnAccuracy: +1"",""ArtemisClustering: +3"",""DoesCluster"",""MRMAmmo: 100"",""ReqArtemis""]}"
200000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Apollo_MRM,The Apollo Fire Control System was created by the Draconis Combine for the MRM specifically designed,,,,,,,,,,,,,,"{""Bonuses"":[""PipsIgnored: +1"",""WpnAccuracy: +1"",""ArtemisClustering: +3"",""DoesCluster"",""MRMAmmo: 200"",""MissileHP: 2"",""ReqArtemis""]}"
200000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Apollo_HMRM,The Apollo Fire Control System was created by the Draconis Combine for the MRM specifically designed,,,,,,,,,,,,,,"{""Bonuses"":[""PipsIgnored: +1"",""WpnAccuracy: +1"",""DoesCluster"",""ArtemisClustering: +2"",""HMRMDamage: -1"",""HMRMAmmo: 120"",""MissileHP: 3"",""ReqArtemis""]}"
180000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Ultra_AC10_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one loc,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""UAC10Ammo: 20""]}"
180000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Ultra_AC10_CL,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 14%"",""AmmoDamage: -15%"",""UAC10Ammo: 16"",""Caseless""]}"
180000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rotary_AC10_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one loc,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""RAC10Ammo: 20""]}"
160000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Ultra_Protected_AC20,C.A.S.E. ammunition bins are designed with blast plates facing away from vital components on a mech.,,,,,,,,,,,,,,"{""Bonuses"":[""Protected: 75%"",""UAC20Ammo: 4""]}"
160000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rotary_Protected_AC20,C.A.S.E. equipped ammunition bins are designed with blast plates facing away from vital components o,,,,,,,,,,,,,,"{""Bonuses"":[""Protected: 75%"",""RAC20Ammo: 4""]}"
160000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Caseless_AC20,Caseless autocannon ammunition was developed by the Federated Commonwealth to provide more ammunitio,,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 13%"",""AmmoDamage: -10%"",""AC20Ammo: 10"",""Caseless"",""VolatileAmmo""]}"
150000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Tandem_LRM_half,"In an Attempt to Improve LRM's, Scientists applied a somewhat ancient Technique, remodelling the War",,,,,,,,,,,,,,"{""Bonuses"":[""ThroughArmorDamage: 2"",""LRMDamage: -25%"",""AmmoJAMFlat: 25%"",""MissileHP: 2"",""LRMAmmo: 60""]}"
150000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Tandem_LRM,"In an Attempt to Improve LRM's, Scientists applied a somewhat ancient Technique, remodelling the War",,,,,,,,,,,,,,"{""Bonuses"":[""ThroughArmorDamage: 2"",""LRMDamage: -25%"",""AmmoJAMFlat: 25%"",""MissileHP: 2"",""LRMAmmo: 120""]}"
150000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_GAUSS_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one loc,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""GaussAmmo: 20"",""InertAmmo""]}"
125000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_RAPLBGR_GAUSS_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one loc,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""RAPLBGRAmmo: 96"",""InertAmmo""]}"
120000,,Ammunition,AmmunitionBox,Ammo_Light_Rotary_AC5_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one loc,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""LRAC5Ammo: 60""]}"
120000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Ultra_Protected_AC10,C.A.S.E. ammunition bins are designed with blast plates facing away from vital components on a mech.,,,,,,,,,,,,,,"{""Bonuses"":[""Protected: 75%"",""UAC10Ammo: 6""]}"
120000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Ultra_AC5_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one loc,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""UAC5Ammo: 36""]}"
120000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Ultra_AC5_CL,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 12%"",""AmmoDamage: -15%"",""UAC5Ammo: 30"",""Caseless""]}"
120000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rotary_Protected_AC10,C.A.S.E. equipped ammunition bins are designed with blast plates facing away from vital components o,,,,,,,,,,,,,,"{""Bonuses"":[""Protected: 75%"",""RAC10Ammo: 6""]}"
120000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rotary_AC5_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one loc,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""RAC5Ammo: 36""]}"
120000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_LBX_CLUSTER_AC20,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""WpnCrits: +50%"",""WpnAccuracy: +1"",""PipsIgnored: +1"",""LBXCluster: 10"",""LBXClusterPenalty: 20%"",""LBXClusterRange: 60"",""DoesCluster"",""AccuracyUnit: VTOL"",""AccuracyUnit2: +3"",""LBX20ClusterAmmo: 5""]}"
120000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_AC20_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to fit 25% more shots into one,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""AC20Ammo: 12""]}"
120000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Caseless_AC10,Caseless autocannon ammunition was developed by the Federated Commonwealth to provide more ammunitio,,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 12%"",""AmmoDamage: -10%"",""AC10Ammo: 20"",""Caseless"",""VolatileAmmo""]}"
120000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_ArtemisIV_SRM_half,Artemis IV SRM's have a ''smart'' Warhead that is able to efficiently guide itself towards any targe,,,,,,,,,,,,,,"{""Bonuses"":[""PipsIgnored: +1"",""WpnAccuracy: +1"",""DoesCluster"",""ArtemisClustering: +4"",""SRMAmmo: 50"",""MissileHP: 3"",""ReqArtemis""]}"
100000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Tandem_MRM_half,"Yeah Boss, i dont know what to tell you, these Junkers managed to put a Tandem Charge into these MRM",,,,,,,,,,,,,,"{""Bonuses"":[""ThroughArmorDamage: 2"",""MRMDamage: -90%"",""AmmoJAMFlat: 20%"",""MissileHP: 2"",""MRMAmmo: 100""]}"
100000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Tandem_MRM,"Yeah Boss, i dont know what to tell you, these Junkers managed to put a Tandem Charge into these MRM",,,,,,,,,,,,,,"{""Bonuses"":[""ThroughArmorDamage: 2"",""MRMDamage: -90%"",""AmmoJAMFlat: 20%"",""MissileHP: 2"",""MRMAmmo: 200""]}"
100000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_AntiMissile_HE,"HE AMS Shells are an adaption of old time flak shells, firing time delayed explosive into the path o",,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 20%"",""AMSDmg: 1"",""AMSShots: -10"",""AMSAmmo: 100"",""VolatileAmmo""]}"
100000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_AntiMissile_Caseless,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 25%"",""AMSShots: +10"",""AMSHeat: +4"",""AMSAmmo: 400"",""Caseless"",""VolatileAmmo""]}"
90000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Light_GAUSS_half,Light Gauss have a better ballistic profile allowing a slug to travel further but have reduced damag,,,,,,,,,,,,,,"{""Bonuses"":[""LightGaussAmmo: 8"",""InertAmmo""]}"
90000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Light_GAUSS,Light Gauss have a better ballistic profile allowing a slug to travel further but have reduced damag,,,,,,,,,,,,,,"{""Bonuses"":[""LightGaussAmmo: 16"",""InertAmmo""]}"
90000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_LBX_CLUSTER_AC10,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""WpnCrits: +50%"",""WpnAccuracy: +1"",""PipsIgnored: +1"",""LBXCluster: 10"",""LBXClusterPenalty: 20%"",""LBXClusterRange: 90"",""DoesCluster"",""AccuracyUnit: VTOL"",""AccuracyUnit2: +3"",""LBX10ClusterAmmo: 10""]}"
90000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Hyper_GAUSS_double,Hyper Assault Gauss Rifles fire a multitude of Small Caliber Gauss slugs akin to a Rotary AutoCannon,,,,,,,,,,,,,,"{""Bonuses"":[""HyperGaussAmmo: 30"",""InertAmmo""]}"
90000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Hyper_GAUSS,Hyper Assault Gauss Rifles fire a multitude of Small Caliber Gauss slugs akin to a Rotary AutoCannon,,,,,,,,,,,,,,"{""Bonuses"":[""HyperGaussAmmo: 12"",""InertAmmo""]}"
90000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Heavy_GAUSS,Heavy Gauss ammo fires a heavier projectile drastically reducing range but increasing the damage pro,,,,,,,,,,,,,,"{""Bonuses"":[""HeavyGaussAmmo: 4"",""InertAmmo""]}"
90000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_SRM_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one loc,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""MissileHP: 3"",""SRMAmmo: 240""]}"
90000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Generic_AC10_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to fit 25% more shots into one,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""AC10Ammo: 24""]}"
90000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Acid_HMRM,This warhead replaces the normal explosive charge of the standard heavy medium-range missile with a ,,,,,,,,,,,,,,"{""Bonuses"":[""AcidSRM: 1%"",""WpnAccuracy: -1"",""HMRMDamage: -1"",""ArmorDmgMod: +50%"",""StructureDmgMod: -50%"",""MissileHP: 3"",""HMRMAmmo: 120""]}"
80000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Precision_AC20,Precision AC Ammo carries self-guided gyrojet shells increasing accuracy. Upon receiving a Critical ,,,,,,,,,,,,,,"{""Bonuses"":[""PipsIgnored: 2"",""AC20Ammo: 3""]}"
80000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Ultra_Protected_AC5,C.A.S.E. ammunition bins are designed with blast plates facing away from vital components on a mech.,,,,,,,,,,,,,,"{""Bonuses"":[""Protected: 75%"",""UAC5Ammo: 12""]}"
80000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Ultra_AC20,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""UAC20Ammo: 5""]}"
80000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rotary_Protected_AC5,C.A.S.E. equipped ammunition bins are designed with blast plates facing away from vital components o,,,,,,,,,,,,,,"{""Bonuses"":[""Protected: 75%"",""RAC5Ammo: 12""]}"
80000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Rotary_AC20,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""RAC20Ammo: 5""]}"
80000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Protected_AC20,C.A.S.E. ammunition bins are designed with blast plates facing away from vital components on a mech.,,,,,,,,,,,,,,"{""Bonuses"":[""Protected: 75%"",""AC20Ammo: 4""]}"
80000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_LBX_SLUG_AC20,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""LBX20SlugAmmo: 5""]}"
80000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_LBX_AOE_AC20,In an attempt to Improve the Combat Profile of LBX AutoCannons RISC Engineers created a completely n,,,,,,,,,,,,,,"{""Bonuses"":[""AreaOfEffectConversion: 75"",""AreaOfEffect: 75"",""AmmoJAMFlat: 20%"",""LBX20AOEAmmo: 5"",""MineClearanceBoom: 3""]}"
80000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Incendiary_AC20,Incendiary ammunition can be used in standard autocannons and their lighter cousins. Developed by NA,,,,,,,,,,,,,,"{""Bonuses"":[""HeatDamage: +40"",""ACDamage: -40%"",""Inferno: 20"",""AC20Ammo: 5"",""VolatileAmmo""]}"
80000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_HVAC_AC20,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""HVAC20Ammo: 4""]}"
80000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Caseless_AC5,Caseless autocannon ammunition was developed by the Federated Commonwealth to provide more ammunitio,,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 11%"",""AmmoDamage: -10%"",""AC5Ammo: 40"",""Caseless"",""VolatileAmmo""]}"
80000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_AP_AC20,"Armour Piercing AC Ammo grants an increased chance for critical hits. Upon receiving a Critical Hit,",,,,,,,,,,,,,,"{""Bonuses"":[""TAC: +50%"",""Crits: +50%"",""ThroughArmorDamage: 15"",""ACDamage: -50%"",""WpnAccuracy: -1"",""AC20Ammo: 3""]}"
75000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_AugmentedThunder_LRM,Each Thunder LRM missile contains five small but powerful anti-vehicle and anti-personnel mines whic,,,,,,,,,,,,,,"{""Bonuses"":[""LRMDamage: -80%"",""Thunder"",""MineIFF"",""ThunderMines: 2"",""ThunderRadius: 6"",""ThunderChance: 50%"",""ThunderDamage: 4"",""WpnAccuracy: -5"",""MissileHP: 2"",""NoAA"",""LRMAmmo: 120""]}"
60000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Precision_AC10,Precision AC Ammo carries self-guided gyrojet shells increasing accuracy. Upon receiving a Critical ,,,,,,,,,,,,,,"{""Bonuses"":[""PipsIgnored: 2"",""AC10Ammo: 5""]}"
60000,,Ammunition,AmmunitionBox,Ammo_Light_Rotary_AC2_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one loc,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""LRAC2Ammo: 144""]}"
60000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Ultra_AC2_double,Doubled Ammo Bins replace one ammo bins feeding and storing mechanism to 25% more shots into one loc,,,,,,,,,,,,,,"{""Bonuses"":[""Doubled"",""UAC2Ammo: 60""]}"
60000,,Ammunition,AmmunitionBox,Ammo_AmmunitionBox_Ultra_AC2_CL,"Ammo Bins contain the rounds needed for projectile-based weaponry, with at least one bin required pe",,,,,,,,,,,,,,"{""Bonuses"":[""AmmoJAMFlat: 10%"",""AmmoDamage: -15%"",""UAC2Ammo: 50"",""Caseless""]}"
